timestamp,threshold,avg_usd,max_usd,samples
2026-01-03T20:59:05.752Z,0.95,9.34,22.13,5
2026-01-03T20:59:05.752Z,0.98,29.28,98.26,47
2026-01-03T20:59:05.752Z,0.985,29.52,98.26,47
2026-01-03T20:59:05.752Z,0.99,39.19,197.06,87
2026-01-03T20:59:05.752Z,0.995,39.19,197.06,87
2026-01-03T20:59:05.752Z,1,42.94,1285.59,298
2026-01-03T21:00:05.755Z,0.9,39.98,66.30,4
2026-01-03T21:00:05.755Z,0.95,26.83,89.51,10
2026-01-03T21:00:05.755Z,0.98,33.29,203.42,53
2026-01-03T21:00:05.755Z,0.985,33.50,203.42,53
2026-01-03T21:00:05.755Z,0.99,42.21,318.26,93
2026-01-03T21:00:05.755Z,0.995,42.21,318.26,93
2026-01-03T21:00:05.755Z,1,62.62,1285.59,343
2026-01-03T21:01:05.756Z,0.9,39.98,66.30,4
2026-01-03T21:01:05.756Z,0.95,26.83,89.51,10
2026-01-03T21:01:05.756Z,0.98,33.32,203.42,55
2026-01-03T21:01:05.756Z,0.985,33.52,203.42,55
2026-01-03T21:01:05.756Z,0.99,41.66,318.26,97
2026-01-03T21:01:05.756Z,0.995,41.66,318.26,97
2026-01-03T21:01:05.756Z,1,59.62,1285.59,380
2026-01-03T21:02:05.756Z,0.9,39.98,66.30,4
2026-01-03T21:02:05.756Z,0.95,26.83,89.51,10
2026-01-03T21:02:05.756Z,0.98,32.73,203.42,57
2026-01-03T21:02:05.756Z,0.985,32.93,203.42,57
2026-01-03T21:02:05.756Z,0.99,40.03,318.26,106
2026-01-03T21:02:05.756Z,0.995,40.03,318.26,106
2026-01-03T21:02:05.756Z,1,57.03,1285.59,421
2026-01-03T21:03:05.757Z,0.9,39.98,66.30,4
2026-01-03T21:03:05.757Z,0.95,26.83,89.51,10
2026-01-03T21:03:05.757Z,0.98,32.75,203.42,58
2026-01-03T21:03:05.757Z,0.985,32.95,203.42,58
2026-01-03T21:03:05.757Z,0.99,40.45,318.26,111
2026-01-03T21:03:05.757Z,0.995,40.45,318.26,111
2026-01-03T21:03:05.757Z,1,56.84,1285.59,436
2026-01-03T21:04:05.759Z,0.9,39.98,66.30,4
2026-01-03T21:04:05.759Z,0.95,26.83,89.51,10
2026-01-03T21:04:05.759Z,0.98,32.55,203.42,59
2026-01-03T21:04:05.759Z,0.985,32.74,203.42,59
2026-01-03T21:04:05.759Z,0.99,39.73,318.26,115
2026-01-03T21:04:05.759Z,0.995,39.73,318.26,115
2026-01-03T21:04:05.759Z,1,55.26,1285.59,457
2026-01-03T21:05:05.762Z,0.9,39.98,66.30,4
2026-01-03T21:05:05.762Z,0.95,26.83,89.51,10
2026-01-03T21:05:05.762Z,0.98,32.55,203.42,59
2026-01-03T21:05:05.762Z,0.985,32.74,203.42,59
2026-01-03T21:05:05.762Z,0.99,39.73,318.26,115
2026-01-03T21:05:05.762Z,0.995,39.73,318.26,115
2026-01-03T21:05:05.762Z,1,54.71,1285.59,469
2026-01-03T21:06:05.763Z,0.9,39.98,66.30,4
2026-01-03T21:06:05.763Z,0.95,26.83,89.51,10
2026-01-03T21:06:05.763Z,0.98,32.74,203.42,65
2026-01-03T21:06:05.763Z,0.985,32.92,203.42,65
2026-01-03T21:06:05.763Z,0.99,38.58,318.26,128
2026-01-03T21:06:05.763Z,0.995,38.58,318.26,128
2026-01-03T21:06:05.763Z,1,53.26,1285.59,512
2026-01-03T21:07:05.764Z,0.9,39.98,66.30,4
2026-01-03T21:07:05.764Z,0.95,27.64,89.51,12
2026-01-03T21:07:05.764Z,0.98,29.07,203.42,83
2026-01-03T21:07:05.764Z,0.985,29.21,203.42,83
2026-01-03T21:07:05.764Z,0.99,36.22,318.26,167
2026-01-03T21:07:05.764Z,0.995,36.22,318.26,167
2026-01-03T21:07:05.764Z,1,50.70,1285.59,600
2026-01-03T21:08:05.765Z,0.9,39.98,66.30,4
2026-01-03T21:08:05.765Z,0.95,27.64,89.51,12
2026-01-03T21:08:05.765Z,0.98,29.06,203.42,84
2026-01-03T21:08:05.765Z,0.985,29.20,203.42,84
2026-01-03T21:08:05.765Z,0.99,35.92,318.26,171
2026-01-03T21:08:05.765Z,0.995,35.92,318.26,171
2026-01-03T21:08:05.765Z,1,49.98,1285.59,618
2026-01-03T21:09:05.767Z,0.9,39.98,66.30,4
2026-01-03T21:09:05.767Z,0.95,27.64,89.51,12
2026-01-03T21:09:05.767Z,0.98,28.91,203.42,85
2026-01-03T21:09:05.767Z,0.985,29.04,203.42,85
2026-01-03T21:09:05.767Z,0.99,35.71,318.26,173
2026-01-03T21:09:05.767Z,0.995,35.71,318.26,173
2026-01-03T21:09:05.767Z,1,48.85,1285.59,640
2026-01-03T21:10:05.768Z,0.9,39.98,66.30,4
2026-01-03T21:10:05.768Z,0.95,27.64,89.51,12
2026-01-03T21:10:05.768Z,0.98,28.63,203.42,86
2026-01-03T21:10:05.768Z,0.985,28.76,203.42,86
2026-01-03T21:10:05.768Z,0.99,35.23,318.26,176
2026-01-03T21:10:05.768Z,0.995,35.23,318.26,176
2026-01-03T21:10:05.768Z,1,48.16,1285.59,659
2026-01-03T21:11:05.768Z,0.9,39.98,66.30,4
2026-01-03T21:11:05.768Z,0.95,27.64,89.51,12
2026-01-03T21:11:05.768Z,0.98,28.64,203.42,87
2026-01-03T21:11:05.768Z,0.985,28.77,203.42,87
2026-01-03T21:11:05.768Z,0.99,35.13,318.26,181
2026-01-03T21:11:05.768Z,0.995,35.13,318.26,181
2026-01-03T21:11:05.768Z,1,47.51,1285.59,682
2026-01-03T21:12:05.769Z,0.9,70.85,194.33,5
2026-01-03T21:12:05.769Z,0.95,58.33,576.00,16
2026-01-03T21:12:05.769Z,0.98,37.01,716.42,95
2026-01-03T21:12:05.769Z,0.985,37.13,716.42,95
2026-01-03T21:12:05.769Z,0.99,39.07,772.35,199
2026-01-03T21:12:05.769Z,0.995,39.07,772.35,199
2026-01-03T21:12:05.769Z,1,47.90,1285.59,725
2026-01-03T21:13:05.769Z,0.9,70.85,194.33,5
2026-01-03T21:13:05.769Z,0.95,58.33,576.00,16
2026-01-03T21:13:05.769Z,0.98,37.01,716.42,95
2026-01-03T21:13:05.769Z,0.985,37.13,716.42,95
2026-01-03T21:13:05.769Z,0.99,39.03,772.35,200
2026-01-03T21:13:05.769Z,0.995,39.03,772.35,200
2026-01-03T21:13:05.769Z,1,48.14,1285.59,740
2026-01-03T21:14:05.767Z,0.9,70.85,194.33,5
2026-01-03T21:14:05.767Z,0.95,55.45,576.00,17
2026-01-03T21:14:05.767Z,0.98,36.96,716.42,97
2026-01-03T21:14:05.767Z,0.985,37.07,716.42,97
2026-01-03T21:14:05.767Z,0.99,38.54,772.35,206
2026-01-03T21:14:05.767Z,0.995,38.54,772.35,206
2026-01-03T21:14:05.767Z,1,47.40,1285.59,760
2026-01-03T21:15:05.770Z,0.9,70.85,194.33,5
2026-01-03T21:15:05.770Z,0.95,52.03,576.00,19
2026-01-03T21:15:05.770Z,0.98,34.70,716.42,110
2026-01-03T21:15:05.770Z,0.985,34.80,716.42,110
2026-01-03T21:15:05.770Z,0.99,36.52,772.35,226
2026-01-03T21:15:05.770Z,0.995,36.52,772.35,226
2026-01-03T21:15:05.770Z,1,58.71,1812.81,813
2026-01-03T21:16:05.771Z,0.9,70.85,194.33,5
2026-01-03T21:16:05.771Z,0.95,52.03,576.00,19
2026-01-03T21:16:05.771Z,0.98,34.70,716.42,110
2026-01-03T21:16:05.771Z,0.985,34.80,716.42,110
2026-01-03T21:16:05.771Z,0.99,36.45,772.35,227
2026-01-03T21:16:05.771Z,0.995,36.45,772.35,227
2026-01-03T21:16:05.771Z,1,58.60,1812.81,821
2026-01-03T21:17:05.771Z,0.9,70.85,194.33,5
2026-01-03T21:17:05.771Z,0.95,52.03,576.00,19
2026-01-03T21:17:05.771Z,0.98,34.47,716.42,111
2026-01-03T21:17:05.771Z,0.985,34.57,716.42,111
2026-01-03T21:17:05.771Z,0.99,36.58,772.35,237
2026-01-03T21:17:05.771Z,0.995,36.58,772.35,237
2026-01-03T21:17:05.771Z,1,57.68,1812.81,859
2026-01-03T21:18:05.774Z,0.9,70.85,194.33,5
2026-01-03T21:18:05.774Z,0.95,51.11,576.00,20
2026-01-03T21:18:05.774Z,0.98,34.81,716.42,113
2026-01-03T21:18:05.774Z,0.985,34.91,716.42,113
2026-01-03T21:18:05.774Z,0.99,37.28,772.35,242
2026-01-03T21:18:05.774Z,0.995,37.28,772.35,242
2026-01-03T21:18:05.774Z,1,57.68,1812.81,875
2026-01-03T21:19:05.774Z,0.9,70.85,194.33,5
2026-01-03T21:19:05.774Z,0.95,51.11,576.00,20
2026-01-03T21:19:05.774Z,0.98,34.75,716.42,115
2026-01-03T21:19:05.774Z,0.985,34.85,716.42,115
2026-01-03T21:19:05.774Z,0.99,37.21,772.35,246
2026-01-03T21:19:05.774Z,0.995,37.21,772.35,246
2026-01-03T21:19:05.774Z,1,57.45,1812.81,882
2026-01-03T21:20:05.775Z,0.9,70.85,194.33,5
2026-01-03T21:20:05.775Z,0.95,51.11,576.00,20
2026-01-03T21:20:05.775Z,0.98,34.39,716.42,121
2026-01-03T21:20:05.775Z,0.985,34.62,716.42,122
2026-01-03T21:20:05.775Z,0.99,37.25,772.35,259
2026-01-03T21:20:05.775Z,0.995,37.25,772.35,259
2026-01-03T21:20:05.775Z,1,56.91,1812.81,913
2026-01-03T21:21:05.775Z,0.9,70.85,194.33,5
2026-01-03T21:21:05.775Z,0.95,51.11,576.00,20
2026-01-03T21:21:05.775Z,0.98,35.69,716.42,123
2026-01-03T21:21:05.775Z,0.985,35.90,716.42,124
2026-01-03T21:21:05.775Z,0.99,37.78,772.35,262
2026-01-03T21:21:05.775Z,0.995,37.78,772.35,262
2026-01-03T21:21:05.775Z,1,56.93,1812.81,921
2026-01-03T21:22:05.784Z,0.9,70.85,194.33,5
2026-01-03T21:22:05.784Z,0.95,50.03,576.00,21
2026-01-03T21:22:05.784Z,0.98,36.90,716.42,126
2026-01-03T21:22:05.784Z,0.985,37.10,716.42,127
2026-01-03T21:22:05.784Z,0.99,38.45,772.35,269
2026-01-03T21:22:05.784Z,0.995,38.45,772.35,269
2026-01-03T21:22:05.784Z,1,57.14,1812.81,941
2026-01-03T21:23:05.784Z,0.9,70.85,194.33,5
2026-01-03T21:23:05.784Z,0.95,48.12,576.00,22
2026-01-03T21:23:05.784Z,0.98,36.91,716.42,128
2026-01-03T21:23:05.784Z,0.985,37.11,716.42,129
2026-01-03T21:23:05.784Z,0.99,38.44,772.35,271
2026-01-03T21:23:05.784Z,0.995,38.44,772.35,271
2026-01-03T21:23:05.784Z,1,56.80,1812.81,951
2026-01-03T21:24:05.786Z,0.9,70.85,194.33,5
2026-01-03T21:24:05.786Z,0.95,48.12,576.00,22
2026-01-03T21:24:05.786Z,0.98,36.91,716.42,128
2026-01-03T21:24:05.786Z,0.985,37.11,716.42,129
2026-01-03T21:24:05.786Z,0.99,38.50,772.35,273
2026-01-03T21:24:05.786Z,0.995,38.50,772.35,273
2026-01-03T21:24:05.786Z,1,56.70,1812.81,955
2026-01-03T21:25:05.786Z,0.9,70.85,194.33,5
2026-01-03T21:25:05.786Z,0.95,48.12,576.00,22
2026-01-03T21:25:05.786Z,0.98,36.91,716.42,128
2026-01-03T21:25:05.786Z,0.985,37.11,716.42,129
2026-01-03T21:25:05.786Z,0.99,38.50,772.35,273
2026-01-03T21:25:05.786Z,0.995,38.50,772.35,273
2026-01-03T21:25:05.786Z,1,56.59,1812.81,957
2026-01-03T21:26:05.789Z,0.9,70.85,194.33,5
2026-01-03T21:26:05.789Z,0.95,48.12,576.00,22
2026-01-03T21:26:05.789Z,0.98,36.91,716.42,128
2026-01-03T21:26:05.789Z,0.985,37.11,716.42,129
2026-01-03T21:26:05.789Z,0.99,38.50,772.35,273
2026-01-03T21:26:05.789Z,0.995,38.50,772.35,273
2026-01-03T21:26:05.789Z,1,56.52,1812.81,960
2026-01-03T21:27:05.789Z,0.9,70.85,194.33,5
2026-01-03T21:27:05.789Z,0.95,48.12,576.00,22
2026-01-03T21:27:05.789Z,0.98,36.78,716.42,129
2026-01-03T21:27:05.789Z,0.985,36.97,716.42,130
2026-01-03T21:27:05.789Z,0.99,38.34,772.35,278
2026-01-03T21:27:05.789Z,0.995,38.34,772.35,278
2026-01-03T21:27:05.789Z,1,57.71,1812.81,978
2026-01-03T21:28:05.789Z,0.9,70.85,194.33,5
2026-01-03T21:28:05.789Z,0.95,48.12,576.00,22
2026-01-03T21:28:05.789Z,0.98,36.78,716.42,129
2026-01-03T21:28:05.789Z,0.985,36.97,716.42,130
2026-01-03T21:28:05.789Z,0.99,38.34,772.35,278
2026-01-03T21:28:05.789Z,0.995,38.34,772.35,278
2026-01-03T21:28:05.789Z,1,69.58,1812.81,1019
2026-01-03T21:29:05.790Z,0.9,70.85,194.33,5
2026-01-03T21:29:05.790Z,0.95,48.12,576.00,22
2026-01-03T21:29:05.790Z,0.98,36.78,716.42,129
2026-01-03T21:29:05.790Z,0.985,36.97,716.42,130
2026-01-03T21:29:05.790Z,0.99,38.34,772.35,278
2026-01-03T21:29:05.790Z,0.995,38.34,772.35,278
2026-01-03T21:29:05.790Z,1,73.94,1812.81,1100
2026-01-03T21:30:05.792Z,0.9,70.85,194.33,5
2026-01-03T21:30:05.792Z,0.95,48.12,576.00,22
2026-01-03T21:30:05.792Z,0.98,36.73,716.42,131
2026-01-03T21:30:05.792Z,0.985,36.92,716.42,132
2026-01-03T21:30:05.792Z,0.99,38.38,772.35,280
2026-01-03T21:30:05.792Z,0.995,38.38,772.35,280
2026-01-03T21:30:05.792Z,1,75.89,1812.81,1110
2026-01-03T21:31:05.793Z,0.9,70.85,194.33,5
2026-01-03T21:31:05.793Z,0.95,48.12,576.00,22
2026-01-03T21:31:05.793Z,0.98,36.88,716.42,136
2026-01-03T21:31:05.793Z,0.985,37.06,716.42,137
2026-01-03T21:31:05.793Z,0.99,39.02,772.35,288
2026-01-03T21:31:05.793Z,0.995,39.02,772.35,288
2026-01-03T21:31:05.793Z,1,75.10,1812.81,1143
2026-01-03T21:32:05.794Z,0.9,70.85,194.33,5
2026-01-03T21:32:05.794Z,0.95,48.12,576.00,22
2026-01-03T21:32:05.794Z,0.98,36.25,716.42,141
2026-01-03T21:32:05.794Z,0.985,36.43,716.42,142
2026-01-03T21:32:05.794Z,0.99,38.35,772.35,313
2026-01-03T21:32:05.794Z,0.995,38.35,772.35,313
