timestamp,threshold,hits_0-5min,hits_5-10min,hits_10-15min,hits_15-30min,hits_30-60min,hits_60+min,pct_0-5min,pct_5-10min,pct_10-15min,pct_15-30min,pct_30-60min,pct_60+min
2026-01-04T09:38:30.908Z,0.95,0,1,1,0,0,0,0.00,50.00,50.00,0.00,0.00,0.00
2026-01-04T09:38:30.908Z,0.98,5,4,15,0,0,0,20.83,16.67,62.50,0.00,0.00,0.00
2026-01-04T09:38:30.908Z,0.985,5,4,15,0,0,0,20.83,16.67,62.50,0.00,0.00,0.00
2026-01-04T09:38:30.908Z,0.99,11,4,31,0,0,0,23.91,8.70,67.39,0.00,0.00,0.00
2026-01-04T09:38:30.908Z,0.995,11,4,31,0,0,0,23.91,8.70,67.39,0.00,0.00,0.00
2026-01-04T09:39:30.908Z,0.9,0,1,0,0,0,0,0.00,100.00,0.00,0.00,0.00,0.00
2026-01-04T09:39:30.908Z,0.95,0,1,1,0,0,0,0.00,50.00,50.00,0.00,0.00,0.00
2026-01-04T09:39:30.908Z,0.98,5,5,15,0,0,0,20.00,20.00,60.00,0.00,0.00,0.00
2026-01-04T09:39:30.908Z,0.985,5,5,15,0,0,0,20.00,20.00,60.00,0.00,0.00,0.00
2026-01-04T09:39:30.908Z,0.99,11,7,31,0,0,0,22.45,14.29,63.27,0.00,0.00,0.00
2026-01-04T09:39:30.908Z,0.995,11,7,31,0,0,0,22.45,14.29,63.27,0.00,0.00,0.00
2026-01-04T09:40:30.909Z,0.9,0,1,0,0,0,0,0.00,100.00,0.00,0.00,0.00,0.00
2026-01-04T09:40:30.909Z,0.95,0,1,1,0,0,0,0.00,50.00,50.00,0.00,0.00,0.00
2026-01-04T09:40:30.909Z,0.98,5,5,15,0,0,0,20.00,20.00,60.00,0.00,0.00,0.00
2026-01-04T09:40:30.909Z,0.985,5,5,15,0,0,0,20.00,20.00,60.00,0.00,0.00,0.00
2026-01-04T09:40:30.909Z,0.99,11,8,31,0,0,0,22.00,16.00,62.00,0.00,0.00,0.00
2026-01-04T09:40:30.909Z,0.995,11,8,31,0,0,0,22.00,16.00,62.00,0.00,0.00,0.00
2026-01-04T09:41:30.909Z,0.9,0,1,0,0,0,0,0.00,100.00,0.00,0.00,0.00,0.00
2026-01-04T09:41:30.909Z,0.95,0,1,1,0,0,0,0.00,50.00,50.00,0.00,0.00,0.00
2026-01-04T09:41:30.909Z,0.98,5,5,15,0,0,0,20.00,20.00,60.00,0.00,0.00,0.00
2026-01-04T09:41:30.909Z,0.985,5,5,15,0,0,0,20.00,20.00,60.00,0.00,0.00,0.00
2026-01-04T09:41:30.909Z,0.99,11,8,31,0,0,0,22.00,16.00,62.00,0.00,0.00,0.00
2026-01-04T09:41:30.909Z,0.995,11,8,31,0,0,0,22.00,16.00,62.00,0.00,0.00,0.00
2026-01-04T09:42:30.911Z,0.9,0,1,0,0,0,0,0.00,100.00,0.00,0.00,0.00,0.00
2026-01-04T09:42:30.911Z,0.95,0,1,1,0,0,0,0.00,50.00,50.00,0.00,0.00,0.00
2026-01-04T09:42:30.911Z,0.98,5,5,15,0,0,0,20.00,20.00,60.00,0.00,0.00,0.00
2026-01-04T09:42:30.911Z,0.985,5,5,15,0,0,0,20.00,20.00,60.00,0.00,0.00,0.00
2026-01-04T09:42:30.911Z,0.99,11,8,31,0,0,0,22.00,16.00,62.00,0.00,0.00,0.00
2026-01-04T09:42:30.911Z,0.995,11,8,31,0,0,0,22.00,16.00,62.00,0.00,0.00,0.00
2026-01-04T09:43:30.911Z,0.9,0,1,0,0,0,0,0.00,100.00,0.00,0.00,0.00,0.00
2026-01-04T09:43:30.911Z,0.95,0,1,1,0,0,0,0.00,50.00,50.00,0.00,0.00,0.00
2026-01-04T09:43:30.911Z,0.98,5,5,15,0,0,0,20.00,20.00,60.00,0.00,0.00,0.00
2026-01-04T09:43:30.911Z,0.985,5,5,15,0,0,0,20.00,20.00,60.00,0.00,0.00,0.00
2026-01-04T09:43:30.911Z,0.99,11,8,31,1,0,0,21.57,15.69,60.78,1.96,0.00,0.00
2026-01-04T09:43:30.911Z,0.995,11,8,31,1,0,0,21.57,15.69,60.78,1.96,0.00,0.00
2026-01-04T09:44:30.912Z,0.9,0,1,0,0,0,0,0.00,100.00,0.00,0.00,0.00,0.00
2026-01-04T09:44:30.912Z,0.95,0,1,1,0,0,0,0.00,50.00,50.00,0.00,0.00,0.00
2026-01-04T09:44:30.912Z,0.98,5,5,15,0,0,0,20.00,20.00,60.00,0.00,0.00,0.00
2026-01-04T09:44:30.912Z,0.985,5,5,15,0,0,0,20.00,20.00,60.00,0.00,0.00,0.00
2026-01-04T09:44:30.912Z,0.99,11,8,31,1,0,0,21.57,15.69,60.78,1.96,0.00,0.00
2026-01-04T09:44:30.912Z,0.995,11,8,31,1,0,0,21.57,15.69,60.78,1.96,0.00,0.00
2026-01-04T09:45:30.912Z,0.9,0,1,0,0,0,0,0.00,100.00,0.00,0.00,0.00,0.00
2026-01-04T09:45:30.912Z,0.95,0,1,1,0,0,0,0.00,50.00,50.00,0.00,0.00,0.00
2026-01-04T09:45:30.912Z,0.98,5,5,16,0,0,0,19.23,19.23,61.54,0.00,0.00,0.00
2026-01-04T09:45:30.912Z,0.985,5,5,16,0,0,0,19.23,19.23,61.54,0.00,0.00,0.00
2026-01-04T09:45:30.912Z,0.99,11,8,33,1,0,0,20.75,15.09,62.26,1.89,0.00,0.00
2026-01-04T09:45:30.912Z,0.995,11,8,33,1,0,0,20.75,15.09,62.26,1.89,0.00,0.00
2026-01-04T09:46:30.912Z,0.9,0,1,0,0,0,0,0.00,100.00,0.00,0.00,0.00,0.00
2026-01-04T09:46:30.912Z,0.95,0,1,1,0,0,0,0.00,50.00,50.00,0.00,0.00,0.00
2026-01-04T09:46:30.912Z,0.98,5,5,23,0,0,0,15.15,15.15,69.70,0.00,0.00,0.00
2026-01-04T09:46:30.912Z,0.985,5,5,23,0,0,0,15.15,15.15,69.70,0.00,0.00,0.00
2026-01-04T09:46:30.912Z,0.99,11,8,49,1,0,0,15.94,11.59,71.01,1.45,0.00,0.00
2026-01-04T09:46:30.912Z,0.995,11,8,49,1,0,0,15.94,11.59,71.01,1.45,0.00,0.00
2026-01-04T09:47:30.912Z,0.9,0,1,0,0,0,0,0.00,100.00,0.00,0.00,0.00,0.00
2026-01-04T09:47:30.912Z,0.95,0,1,1,0,0,0,0.00,50.00,50.00,0.00,0.00,0.00
2026-01-04T09:47:30.912Z,0.98,5,5,24,0,0,0,14.71,14.71,70.59,0.00,0.00,0.00
2026-01-04T09:47:30.912Z,0.985,5,5,24,0,0,0,14.71,14.71,70.59,0.00,0.00,0.00
2026-01-04T09:47:30.912Z,0.99,11,8,61,1,0,0,13.58,9.88,75.31,1.23,0.00,0.00
2026-01-04T09:47:30.912Z,0.995,11,8,61,1,0,0,13.58,9.88,75.31,1.23,0.00,0.00
2026-01-04T09:48:30.913Z,0.9,0,1,0,0,0,0,0.00,100.00,0.00,0.00,0.00,0.00
2026-01-04T09:48:30.913Z,0.95,0,1,1,0,0,0,0.00,50.00,50.00,0.00,0.00,0.00
2026-01-04T09:48:30.913Z,0.98,5,5,25,0,0,0,14.29,14.29,71.43,0.00,0.00,0.00
2026-01-04T09:48:30.913Z,0.985,5,5,25,0,0,0,14.29,14.29,71.43,0.00,0.00,0.00
2026-01-04T09:48:30.913Z,0.99,11,8,64,1,0,0,13.10,9.52,76.19,1.19,0.00,0.00
2026-01-04T09:48:30.913Z,0.995,11,8,64,1,0,0,13.10,9.52,76.19,1.19,0.00,0.00
2026-01-04T09:49:30.914Z,0.9,0,1,0,0,0,0,0.00,100.00,0.00,0.00,0.00,0.00
2026-01-04T09:49:30.914Z,0.95,0,1,2,0,0,0,0.00,33.33,66.67,0.00,0.00,0.00
2026-01-04T09:49:30.914Z,0.98,5,5,27,0,0,0,13.51,13.51,72.97,0.00,0.00,0.00
2026-01-04T09:49:30.914Z,0.985,5,5,27,0,0,0,13.51,13.51,72.97,0.00,0.00,0.00
2026-01-04T09:49:30.914Z,0.99,11,8,68,1,0,0,12.50,9.09,77.27,1.14,0.00,0.00
2026-01-04T09:49:30.914Z,0.995,11,8,68,1,0,0,12.50,9.09,77.27,1.14,0.00,0.00
2026-01-04T09:50:30.916Z,0.9,0,1,0,0,0,0,0.00,100.00,0.00,0.00,0.00,0.00
2026-01-04T09:50:30.916Z,0.95,0,1,2,0,0,0,0.00,33.33,66.67,0.00,0.00,0.00
2026-01-04T09:50:30.916Z,0.98,5,8,29,0,0,0,11.90,19.05,69.05,0.00,0.00,0.00
2026-01-04T09:50:30.916Z,0.985,5,8,29,0,0,0,11.90,19.05,69.05,0.00,0.00,0.00
2026-01-04T09:50:30.916Z,0.99,11,16,73,1,0,0,10.89,15.84,72.28,0.99,0.00,0.00
2026-01-04T09:50:30.916Z,0.995,11,16,73,1,0,0,10.89,15.84,72.28,0.99,0.00,0.00
2026-01-04T09:51:30.918Z,0.9,0,1,0,0,0,0,0.00,100.00,0.00,0.00,0.00,0.00
2026-01-04T09:51:30.918Z,0.95,0,2,2,0,0,0,0.00,50.00,50.00,0.00,0.00,0.00
2026-01-04T09:51:30.918Z,0.98,5,21,29,0,0,0,9.09,38.18,52.73,0.00,0.00,0.00
2026-01-04T09:51:30.918Z,0.985,5,21,29,0,0,0,9.09,38.18,52.73,0.00,0.00,0.00
2026-01-04T09:51:30.918Z,0.99,11,38,73,1,0,0,8.94,30.89,59.35,0.81,0.00,0.00
2026-01-04T09:51:30.918Z,0.995,11,38,73,1,0,0,8.94,30.89,59.35,0.81,0.00,0.00
2026-01-04T09:52:30.919Z,0.9,0,1,0,0,0,0,0.00,100.00,0.00,0.00,0.00,0.00
2026-01-04T09:52:30.919Z,0.95,0,2,2,0,0,0,0.00,50.00,50.00,0.00,0.00,0.00
2026-01-04T09:52:30.919Z,0.98,5,23,29,0,0,0,8.77,40.35,50.88,0.00,0.00,0.00
2026-01-04T09:52:30.919Z,0.985,5,23,29,0,0,0,8.77,40.35,50.88,0.00,0.00,0.00
2026-01-04T09:52:30.919Z,0.99,11,47,73,1,0,0,8.33,35.61,55.30,0.76,0.00,0.00
