timestamp,row_type,symbol,timeframe,samples,hits_le_0.9,hits_le_0.95,hits_le_0.98,hits_le_0.985,hits_le_0.99,hits_le_0.995,avg_yes_le_0.9,avg_no_le_0.9,avg_yes_le_0.95,avg_no_le_0.95,avg_yes_le_0.98,avg_no_le_0.98,avg_yes_le_0.985,avg_no_le_0.985,avg_yes_le_0.99,avg_no_le_0.99,avg_yes_le_0.995,avg_no_le_0.995
2026-01-04T15:56:51.300Z,symbol,sol,15m,594,0,0,9,9,13,13,,,,,0.4500,0.5233,0.4500,0.5233,0.4608,0.5177,0.4608,0.5177
2026-01-04T15:57:51.298Z,all,,,8143,0,1,24,24,59,59,,,0.7000,0.2500,0.6113,0.3646,0.6113,0.3646,0.6827,0.3015,0.6827,0.3015
2026-01-04T15:57:51.298Z,symbol,btc,15m,4140,0,0,1,1,11,11,,,,,0.6300,0.3500,0.6300,0.3500,0.7673,0.2218,0.7673,0.2218
2026-01-04T15:57:51.298Z,symbol,eth,15m,2653,0,0,12,12,29,29,,,,,0.7050,0.2742,0.7050,0.2742,0.7272,0.2583,0.7272,0.2583
2026-01-04T15:57:51.298Z,symbol,xrp,15m,634,0,1,2,2,5,5,,,0.7000,0.2500,0.7650,0.2000,0.7650,0.2000,0.8460,0.1340,0.8460,0.1340
2026-01-04T15:57:51.298Z,symbol,sol,15m,716,0,0,9,9,14,14,,,,,0.4500,0.5233,0.4500,0.5233,0.4657,0.5136,0.4657,0.5136
2026-01-04T15:58:51.299Z,all,,,8898,0,1,25,25,66,66,,,0.7000,0.2500,0.6248,0.3512,0.6248,0.3512,0.7097,0.2750,0.7097,0.2750
2026-01-04T15:58:51.299Z,symbol,btc,15m,4249,0,0,1,1,11,11,,,,,0.6300,0.3500,0.6300,0.3500,0.7673,0.2218,0.7673,0.2218
2026-01-04T15:58:51.299Z,symbol,eth,15m,2900,0,0,12,12,31,31,,,,,0.7050,0.2742,0.7050,0.2742,0.7410,0.2448,0.7410,0.2448
2026-01-04T15:58:51.299Z,symbol,xrp,15m,717,0,1,2,2,6,6,,,0.7000,0.2500,0.7650,0.2000,0.7650,0.2000,0.8517,0.1300,0.8517,0.1300
2026-01-04T15:58:51.299Z,symbol,sol,15m,1032,0,0,10,10,18,18,,,,,0.5000,0.4740,0.5000,0.4740,0.5733,0.4078,0.5733,0.4078
2026-01-04T15:59:51.300Z,all,,,9249,0,1,25,25,67,67,,,0.7000,0.2500,0.6248,0.3512,0.6248,0.3512,0.7134,0.2713,0.7134,0.2713
2026-01-04T15:59:51.300Z,symbol,btc,15m,4430,0,0,1,1,11,11,,,,,0.6300,0.3500,0.6300,0.3500,0.7673,0.2218,0.7673,0.2218
2026-01-04T15:59:51.300Z,symbol,eth,15m,2951,0,0,12,12,31,31,,,,,0.7050,0.2742,0.7050,0.2742,0.7410,0.2448,0.7410,0.2448
2026-01-04T15:59:51.300Z,symbol,xrp,15m,724,0,1,2,2,6,6,,,0.7000,0.2500,0.7650,0.2000,0.7650,0.2000,0.8517,0.1300,0.8517,0.1300
2026-01-04T15:59:51.300Z,symbol,sol,15m,1144,0,0,10,10,19,19,,,,,0.5000,0.4740,0.5000,0.4740,0.5937,0.3879,0.5937,0.3879
2026-01-04T16:00:51.300Z,all,,,10621,0,1,27,27,79,84,,,0.7000,0.2500,0.6174,0.3585,0.6174,0.3585,0.6834,0.3018,0.7017,0.2839
2026-01-04T16:00:51.300Z,symbol,btc,15m,5470,0,0,2,2,21,24,,,,,0.6000,0.3800,0.6000,0.3800,0.6562,0.3329,0.6979,0.2914
2026-01-04T16:00:51.300Z,symbol,eth,15m,3189,0,0,13,13,32,34,,,,,0.6877,0.2908,0.6877,0.2908,0.7328,0.2525,0.7479,0.2377
2026-01-04T16:00:51.300Z,symbol,xrp,15m,751,0,1,2,2,6,6,,,0.7000,0.2500,0.7650,0.2000,0.7650,0.2000,0.8517,0.1300,0.8517,0.1300
2026-01-04T16:00:51.300Z,symbol,sol,15m,1211,0,0,10,10,20,20,,,,,0.5000,0.4740,0.5000,0.4740,0.5825,0.3995,0.5825,0.3995
2026-01-04T16:01:51.301Z,all,,,12166,0,1,36,36,99,104,,,0.7000,0.2500,0.6031,0.3731,0.6031,0.3731,0.6532,0.3317,0.6694,0.3158
2026-01-04T16:01:51.301Z,symbol,btc,15m,6655,0,0,7,7,34,37,,,,,0.5613,0.4175,0.5613,0.4175,0.5907,0.3973,0.6162,0.3720
2026-01-04T16:01:51.301Z,symbol,eth,15m,3423,0,0,15,15,35,37,,,,,0.6600,0.3169,0.6600,0.3169,0.7103,0.2739,0.7250,0.2595
2026-01-04T16:01:51.301Z,symbol,xrp,15m,793,0,1,2,2,7,7,,,0.7000,0.2500,0.7650,0.2000,0.7650,0.2000,0.7857,0.1971,0.7857,0.1971
2026-01-04T16:01:51.301Z,symbol,sol,15m,1295,0,0,12,12,23,23,,,,,0.5150,0.4600,0.5150,0.4600,0.5750,0.4075,0.5750,0.4075
2026-01-04T16:02:51.302Z,all,,,13405,0,1,38,38,112,117,,,0.7000,0.2500,0.6042,0.3718,0.6042,0.3718,0.6504,0.3348,0.6650,0.3206
2026-01-04T16:02:51.302Z,symbol,btc,15m,7438,0,0,9,9,42,45,,,,,0.5644,0.4137,0.5644,0.4137,0.5769,0.4105,0.5928,0.3948
2026-01-04T16:02:51.302Z,symbol,eth,15m,3695,0,0,15,15,40,42,,,,,0.6411,0.3347,0.6411,0.3347,0.6844,0.2996,0.6974,0.2869
2026-01-04T16:02:51.302Z,symbol,xrp,15m,867,0,1,2,2,7,7,,,0.7000,0.2500,0.7650,0.2000,0.7650,0.2000,0.7362,0.2475,0.7362,0.2475
2026-01-04T16:02:51.302Z,symbol,sol,15m,1405,0,0,12,12,23,23,,,,,0.5257,0.4500,0.5257,0.4500,0.5696,0.4132,0.5696,0.4132
2026-01-04T16:03:51.304Z,all,,,15419,0,3,43,43,133,138,,,0.5267,0.4200,0.6044,0.3705,0.6044,0.3705,0.6417,0.3434,0.6543,0.3310
2026-01-04T16:03:51.304Z,symbol,btc,15m,8774,0,0,9,9,51,54,,,,,0.5654,0.4125,0.5654,0.4125,0.5789,0.4086,0.5893,0.3982
2026-01-04T16:03:51.304Z,symbol,eth,15m,4243,0,0,18,18,46,48,,,,,0.6380,0.3376,0.6380,0.3376,0.6628,0.3212,0.6734,0.3108
2026-01-04T16:03:51.304Z,symbol,xrp,15m,931,0,3,4,4,12,12,,,0.5267,0.4200,0.6025,0.3525,0.6025,0.3525,0.5850,0.3950,0.5850,0.3950
2026-01-04T16:03:51.304Z,symbol,sol,15m,1471,0,0,12,12,24,24,,,,,0.5337,0.4425,0.5337,0.4425,0.5736,0.4097,0.5736,0.4097
2026-01-04T16:04:51.305Z,all,,,16878,0,3,44,44,141,146,,,0.5267,0.4200,0.6059,0.3689,0.6059,0.3689,0.6470,0.3382,0.6588,0.3267
2026-01-04T16:04:51.305Z,symbol,btc,15m,9726,0,0,9,9,57,60,,,,,0.5659,0.4119,0.5659,0.4119,0.5863,0.4013,0.5937,0.3940
2026-01-04T16:04:51.305Z,symbol,eth,15m,4642,0,0,19,19,48,50,,,,,0.6372,0.3381,0.6372,0.3381,0.6506,0.3332,0.6592,0.3248
